non_terminal,first,follow
PROGRAMA,"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', 'lirili', 'porcoala', 'tralala', 'id', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}",{'$'}
LISTA_DE_COMANDOS,"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', 'lirili', 'porcoala', 'tralala', 'id', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}","{'finitini', 'sahur', '$'}"
COMANDO,"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'tralala', 'caractere', 'id', 'valor_real', 'dunmadin', 'tralalero', 'tung', '=', 'saturnita', 'lirili', 'tripi', 'porcoala', 'porcodio'}","{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
DECLARACAO,"{'tralala', 'tralalero', 'porcoala', 'porcodio'}","{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', ';', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
ATRIBUICAO,"{'valor_inteiro', 'string', 'tropa', 'caractere', 'id', 'tripi', '=', 'valor_real'}","{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', ';', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
EXPRESSAO,"{'valor_inteiro', 'string', 'valor_real', 'caractere', 'id', 'tropa', 'tripi'}","{'>', 'batapim', 'valor_inteiro', 'string', 'chimpanzini', '*', '&&', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', '<', '<=', 'porcoala', '/', 'finitini', '+', ')', '%', ';', 'tralala', 'id', 'sahur', '>=', 'delimitare', '==', 'tralalero', '||', '-', '!=', 'saturnita', 'valor_real', 'porcodio'}"
OPERADOR,"{'>', '%', '*', '&&', '>=', '==', '||', '-', '!=', '<', '<=', '/', '+'}","{'valor_inteiro', 'string', 'tropa', 'caractere', 'id', 'tripi', 'valor_real'}"
ENTRADA,{'batapim'},"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
SAIDA,{'chimpanzini'},"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
DECISAO,{'lirili'},"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
LACO_CONTADO,{'dunmadin'},"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
LACO_DE_REPETICAO,{'tung'},"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
BLOCO,"{'sahur', 'delimitare'}","{'larila', 'batapim', 'valor_inteiro', 'tropa', 'caractere', 'tung', '$', 'lirili', 'porcoala', 'id', 'saturnita', 'tripi', 'string', 'chimpanzini', 'dunmadin', '=', 'finitini', 'tralala', 'sahur', 'tralalero', 'valor_real', 'porcodio'}"
BLOCO_REPETICAO,{'sahur'},"{'larila', 'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'valor_real', 'dunmadin', 'tung', '$', '=', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'tripi', 'porcodio'}"
BLOCO_DECISAO,{'delimitare'},"{'larila', 'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'valor_real', 'dunmadin', 'tung', '$', '=', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'tripi', 'porcodio'}"
COMENTARIO,{'saturnita'},"{'batapim', 'valor_inteiro', 'string', 'chimpanzini', 'tropa', 'caractere', 'dunmadin', 'tripi', 'tung', '=', '$', 'lirili', 'porcoala', 'finitini', 'tralala', 'id', 'sahur', 'tralalero', 'saturnita', 'valor_real', 'porcodio'}"
TIPO_DE_VARIAVEL,"{'tralalero', 'tralala', 'porcoala', 'porcodio'}",{'id'}
OPERADOR_ARITMETICO,"{'%', '*', '-', '/', '+'}","{'valor_inteiro', 'valor_real', 'string', 'tropa', 'caractere', 'id', 'tripi'}"
OPERADOR_RELACIONAL,"{'>', '>=', '==', '!=', '<', '<='}","{'valor_inteiro', 'valor_real', 'string', 'tropa', 'caractere', 'id', 'tripi'}"
OPERADOR_LOGICO,"{'||', '&&'}","{'valor_inteiro', 'valor_real', 'string', 'tropa', 'caractere', 'id', 'tripi'}"
TERMO,"{'valor_inteiro', 'string', 'valor_real', 'caractere', 'id', 'tropa', 'tripi'}","{'batapim', 'valor_inteiro', '*', '&&', 'tropa', 'caractere', 'tung', '$', 'lirili', 'porcoala', '+', '%', 'id', 'delimitare', '==', '!=', 'saturnita', 'tripi', '>', 'string', 'chimpanzini', 'dunmadin', '=', '<', '<=', '/', 'finitini', ')', ';', 'tralala', 'sahur', '>=', 'tralalero', '||', '-', 'valor_real', 'porcodio'}"
VALOR_BOOL,"{'tripi', 'tropa'}","{'batapim', 'valor_inteiro', '*', '&&', 'tropa', 'caractere', 'tung', '$', 'lirili', 'porcoala', '+', '%', 'id', 'delimitare', '==', '!=', 'saturnita', 'tripi', '>', 'string', 'chimpanzini', 'dunmadin', '=', '<', '<=', '/', 'finitini', ')', ';', 'tralala', 'sahur', '>=', 'tralalero', '||', '-', 'valor_real', 'porcodio'}"
